brand,retailed id,invoice date,region,state,city,unit sold,operating profit,operating margin,sales method,product name,product id
Nike,23b8c1e9-3924-46de-beb1-3b9046685257,13-10-2024,North,Haryana,Faridabad,13,345.27,29.41,Online,Nike Air Max,P1001
Nike,e465e150-bd9c-46b3-ad3c-2d6d1a3d1fa7,30-07-2024,North,Haryana,Gurgaon,63,2109.01,43.65,Online,Nike Metcon,P1005
Nike,0822e8f3-6c03-4199-972a-846916419f82,12-01-2024,North,Delhi,New Delhi,45,1190.67,25.01,Online,Nike Pegasus,P1003
Nike,815ef6d1-3b8f-4a18-b7f8-a88b17fc695a,21-08-2024,North,Delhi,New Delhi,55,2096.15,35.15,Retail,Nike Air Max,P1001
Nike,b74d0fb1-32e7-4629-8fad-c1a606cb0fb3,09-09-2024,West,Rajasthan,Jaipur,20,575.91,29.47,Wholesale,Nike React,P1004
Nike,386ecbe0-6b65-46a4-8b81-48f6b38a088c,23-06-2024,East,Bihar,Patna,15,402.55,34.69,Wholesale,Nike Air Max,P1001
Nike,de8a774b-cf36-458b-8737-819096da1dac,03-01-2024,North,Delhi,New Delhi,45,1758.17,47.71,Retail,Nike React,P1004
Nike,b2b9437a-28df-4ec4-8e4a-2bbdc241330b,13-06-2024,East,Odisha,Bhubaneswar,99,3904.67,40.85,Wholesale,Nike Pegasus,P1003
Nike,371ecd7b-27cd-4130-8722-9389571aa876,23-10-2024,South,Kerala,Kochi,69,1938.79,24.32,Retail,Nike ZoomX,P1002
Nike,6142ea7d-17be-4111-9a2a-73ed562b0f79,07-02-2024,South,Kerala,Trivandrum,39,1721.9,52.52,Online,Nike Air Max,P1001
Nike,9a8dca03-580d-4b71-98f5-64135be6128e,12-04-2024,North,Delhi,New Delhi,93,2963.81,27.74,Retail,Nike ZoomX,P1002
Nike,759cde66-bacf-43d0-8b1f-9163ce9ff57f,27-07-2024,West,Maharashtra,Pune,41,1510.48,48.63,Wholesale,Nike ZoomX,P1002
Nike,60e7a113-ec1b-4ca1-b91e-1d4c1ff49b78,31-01-2024,West,Rajasthan,Udaipur,38,1340.86,53.91,Online,Nike Pegasus,P1003
Nike,a0ee89ae-d453-4d32-8b0d-bb418d5288f1,28-08-2024,North,Delhi,New Delhi,97,3675.55,45.61,Retail,Nike ZoomX,P1002
Nike,93cd59bf-5c94-4cf0-9c98-d2c1e2acf72f,15-03-2024,West,Rajasthan,Udaipur,11,457.84,41.25,Wholesale,Nike Metcon,P1005
Nike,a9488d99-0bbb-4599-91ce-5dd2b45ed1f0,29-03-2024,East,Bihar,Gaya,47,1163,41.11,Retail,Nike Air Max,P1001
Nike,146d3f31-fc37-4a4c-8a15-544dc5e7ce8a,28-11-2024,East,Bihar,Patna,23,665.93,29.44,Wholesale,Nike Metcon,P1005
Nike,614ff3d7-19db-4ad0-9dd1-dfb23b982ef8,17-04-2024,South,Tamil Nadu,Coimbatore,79,3756.83,49.57,Wholesale,Nike ZoomX,P1002
Nike,5d65a441-d588-42de-a2bc-372f7412b293,04-03-2024,West,Maharashtra,Mumbai,49,1065.15,19.29,Online,Nike Pegasus,P1003
Nike,ab9099a4-35a2-40ae-9af3-05535ec42e08,13-04-2024,North,Delhi,New Delhi,78,1860.44,26.95,Online,Nike Air Max,P1001
Nike,a5e5a5ab-aefc-4ad8-afc8-9849b3aa7efe,28-01-2024,South,Karnataka,Mysore,79,3214.99,39.6,Wholesale,Nike ZoomX,P1002
Nike,88bd6407-2bcf-4e01-a28d-efe39bf00273,10-10-2024,West,Rajasthan,Udaipur,76,1795.89,32.16,Retail,Nike React,P1004
Nike,6123fdf7-7656-4f72-a9d4-beef3eabedcb,14-04-2024,East,West Bengal,Kolkata,38,840.93,22.61,Online,Nike Metcon,P1005
Nike,b02b61c4-a3d7-4628-ace6-6fa2fd5166e6,04-08-2024,South,Tamil Nadu,Chennai,19,515.66,27.1,Wholesale,Nike Pegasus,P1003
Nike,d7c524a5-5304-417f-af42-e12f3838b326,25-10-2024,South,Kerala,Kochi,83,2265.06,30.88,Retail,Nike Metcon,P1005
Nike,d261a7ab-3aa2-44f9-8e51-f30dc6a7ee39,13-01-2024,West,Maharashtra,Mumbai,94,2879.12,36.18,Retail,Nike Air Max,P1001
Nike,448aaa9e-66b2-4c5b-90c1-87fcce177b4e,26-01-2024,North,Haryana,Gurgaon,61,1840.92,27.02,Wholesale,Nike Air Max,P1001
Nike,9132b63e-f162-47e4-a9c3-49e03602f8ac,06-12-2024,South,Tamil Nadu,Chennai,67,2187.98,42.57,Online,Nike Metcon,P1005
Nike,a7cad415-366e-416f-908e-bad7b7c93acf,12-07-2024,South,Tamil Nadu,Coimbatore,22,870.42,42.8,Online,Nike Metcon,P1005
Nike,a491f0b2-ea1f-4a65-a27a-984d654821d0,27-06-2024,North,Delhi,New Delhi,62,2135.33,30.78,Retail,Nike ZoomX,P1002
Nike,3f22faf8-23be-401d-83cf-2fde24933b83,16-10-2024,North,Delhi,New Delhi,59,2819.94,44.62,Retail,Nike Air Max,P1001
Nike,bf3c4c06-4343-48bc-89fa-6a688fb5d27b,15-08-2024,East,Odisha,Cuttack,34,902.05,41.77,Retail,Nike ZoomX,P1002
Nike,663f1c97-9562-49f0-a5d7-b8756dadd6c7,20-05-2024,North,Haryana,Faridabad,16,548.86,29.79,Wholesale,Nike Air Max,P1001
Nike,2369b584-ff5e-4ff0-bf50-bde4382567b8,16-07-2024,South,Tamil Nadu,Chennai,18,396.7,19.73,Wholesale,Nike ZoomX,P1002
Nike,0c0fd195-c17a-408a-9745-d6d87e570ddf,30-11-2024,West,Maharashtra,Mumbai,86,3318,45.31,Online,Nike Metcon,P1005
Nike,28f49481-a0a0-4dc4-a720-9bdf1c11f735,03-11-2024,East,Odisha,Bhubaneswar,40,1274.94,31.78,Retail,Nike Pegasus,P1003
Nike,10435a10-98ae-4334-ac12-ace8ae340454,29-05-2024,East,Odisha,Cuttack,11,424.98,41.2,Retail,Nike Air Max,P1001
Nike,77d21e02-ff01-4f99-988c-24c961b1cd22,24-07-2024,North,Delhi,New Delhi,43,2063.9,42.53,Online,Nike Metcon,P1005
Nike,dc5c0eed-8da0-465b-b898-97b9405cacec,05-01-2024,South,Karnataka,Mysore,66,2713.01,42.51,Wholesale,Nike ZoomX,P1002
Nike,ae849217-1d53-434b-b881-39b9ae270da7,09-12-2024,North,Haryana,Faridabad,27,633.5,35.32,Retail,Nike Air Max,P1001
